ID,GS,Cuadrante,DO,fHORA,Ano,Guanacos,DMin,DMax,Patch,Log C2,ALev,NComp,Agr,Sync.Max,ACT,Chulengos,Chu_PA,Sync4
729,F,SE,1311,T5,8,3,1,30,"94,248","0,30681919",1,1,0,1,1,1,1,"1,136363636"
730,GsC,SO,1283,T5,8,5,10,100,"3141,6","1,057818194",1,1,0,1,1,0,0,"1,102941176"
731,F,SO,499,T5,8,6,1,10,"31,416","-0,021363052",1,1,0,1,1,1,1,"2,083333333"
732,F,SE,707,T5,8,11,1,50,"157,08","-0,251811973",1,1,0,1,1,1,1,"1,25"
733,GsC,SE,1205,T5,8,17,2,50,"314,16","-0,148271381",1,1,0,1,1,0,0,"1,041666667"
734,F,SO,653,T5,8,24,1,30,"94,248","-0,596270797",1,1,0,1,1,1,1,"2,5"
736,F,SE,1274,T5,8,3,2,5,"31,416","0,475961589",1,1,0,1,1,1,1,"1,5625"
737,F,SE,473,T5,8,6,1,30,"94,248","0,005789194",1,1,0,1,1,2,1,"1,136363636"
738,F,SE,712,T5,8,11,2,10,"62,832","-0,021363052",1,1,0,1,1,1,1,"2,5"
739,F,SO,670,T5,8,24,1,50,"157,08","-0,59063053",1,2,0,"0,833333333","0,416666667",1,1,"4,166666667"
740,GsC,SE,1458,T5,8,25,2,100,"628,32","-0,307329301",1,2,1,"0,88","0,44",0,0,"0,735294118"
741,F,SE,1016,T5,8,26,2,50,"314,16","-0,332795808",1,1,0,1,1,3,1,"2,083333333"
742,GsC,SO,1322,T5,8,5,1,20,"62,832","0,078021581",1,1,0,1,1,0,0,"8,333333333"
743,F,SE,455,T5,8,6,1,10,"31,416","-0,021363052",1,1,0,1,1,2,1,"2,083333333"
744,F,SE,766,T5,8,7,2,50,"314,16","0,2370795",1,1,0,1,1,1,1,"1,136363636"
745,GsC,SE,1523,T5,8,13,2,50,"314,16","-0,031765812",1,1,0,1,1,0,0,"12,5"
746,GsC,SE,1385,T5,8,15,1,100,"314,16","-0,382231749",1,1,0,1,1,0,0,"2,083333333"
747,F,SO,673,T5,8,27,1,50,"157,08","-0,641783052",1,1,0,1,1,1,1,"2,083333333"
749,F,SE,470,T5,8,6,1,10,"31,416","-0,021363052",1,1,0,1,1,2,1,"2,083333333"
750,GsC,SE,1238,T5,8,17,1,50,"157,08","-0,440868209",1,2,1,"0,882352941","0,441176471",0,0,"0,735294118"
751,F,SO,655,T5,8,26,1,50,"157,08","-0,625392636",1,2,0,"0,923076923","0,461538462",1,1,"4,166666667"
752,F,SE,688,T1,8,3,2,2,"12,5664","0,321059629",1,1,0,1,1,1,1,"2,083333333"
753,GsC,SO,1321,T1,8,3,10,50,"1570,8","1,241878383",1,1,0,1,1,0,0,"1,171875"
754,F,SE,526,T1,8,7,1,10,"31,416","-0,088309841",1,1,0,1,1,1,1,"2,083333333"
